isu_cd,kor_cor_nm,chg_dt,tr_stp_rsn
037220,NEXTEL,2005/04/09,DELISTING (KOSDAQ)
054370,UP FEEL,2005/04/12,DELISTING (KOSDAQ)
042960,CHANGMIN TECH,2005/04/13,DELISTING (KOSDAQ)
006750,Century,2005/04/14,DELISTING (Stock)
012250,CHEFLINE,2005/04/15,DELISTING (Stock)
009360,BENEDES HI-TECH,2005/04/15,DELISTING (Stock)
036590,KNT,2005/04/16,DELISTING (KOSDAQ)
009760,Computer Holidings,2005/04/19,DELISTING (Stock)
049130,HAURI,2005/04/20,DELISTING (KOSDAQ)
036820,BET,2005/04/21,DELISTING (KOSDAQ)
032610,SOK CO LTD,2005/04/21,DELISTING (KOSDAQ)
009890,MAXONTELECOM,2005/04/21,DELISTING (Stock)
000110,SCBank,2005/04/22,DELISTING (Stock)
036900,Techsan I&C,2005/04/23,DELISTING (KOSDAQ)
032050,HIN,2005/04/26,DELISTING (KOSDAQ)
044440,SOLVIT MEDIA,2005/04/26,DELISTING (KOSDAQ)
008120,MOTOR JOY,2005/04/28,DELISTING (Stock)
009940,DAEA LEAD WIRE,2005/04/28,DELISTING (Stock)
001670,KYUNGNAM WOOL TEXTL,2005/04/28,DELISTING (Stock)
030950,POCHINCHAI,2005/04/30,DELISTING (KOSDAQ)
046810,KEPS,2005/04/30,DELISTING (KOSDAQ)
002480,PUMYANG,2005/05/04,DELISTING (KOSDAQ)
033220,NS ALUMINUM,2005/05/04,DELISTING (KOSDAQ)
038960,HYUNJU COMPUTER,2005/05/11,DELISTING (KOSDAQ)
032180,ISU CERAMICS,2005/05/25,DELISTING (KOSDAQ)
008030,iTEXFIL,2005/06/02,DELISTING (KOSDAQ)
042950,MIRAE KOREA 1,2005/06/04,DELISTING (KOSDAQ)
008270,KDB CAPITAL,2005/06/16,DELISTING (Stock)
006250,KUKDONG ELEC WIRE,2005/07/18,DELISTING (Stock)
001580,SHINKWANG ENT,2005/08/05,DELISTING (Stock)
055810,KTC TELECOM,2005/08/13,DELISTING (KOSDAQ)
009080,Pacificglas,2005/08/17,DELISTING (Stock)
038980,EASYCLUB,2005/09/10,DELISTING (KOSDAQ)
070540,KOCREF II,2005/09/15,DELISTING (Stock)
021570,ALUKO,2005/10/13,DELISTING (KOSDAQ)
057110,ITCENNETWORKS,2005/10/22,DELISTING (KOSDAQ)
039870,PKL,2005/11/09,DELISTING (KOSDAQ)
002860,Hana Bank,2005/12/12,DELISTING (Stock)
019560,KIP,2005/12/24,DELISTING (KOSDAQ)
014010,INTERPIONSEMI,2005/12/28,DELISTING (Stock)
023420,YUJIN D & C,2005/12/31,DELISTING (KOSDAQ)
056060,CENICON,2006/04/08,DELISTING (KOSDAQ)
039110,SPCT,2006/04/15,DELISTING (KOSDAQ)
049370,CJ Ent.,2006/04/20,DELISTING (KOSDAQ)
066480,FITTON,2006/04/25,DELISTING (KOSDAQ)
041500,DAEHAN BIO LINK,2006/04/25,DELISTING (KOSDAQ)
016970,CECROP,2006/07/13,DELISTING (Stock)
047420,LKNC,2006/07/13,DELISTING (KOSDAQ)
063510,KOLON INTERNATIONAL,2006/07/21,DELISTING (Stock)
048760,VK,2006/07/22,DELISTING (KOSDAQ)
003330,Hana IB,2006/10/26,DELISTING (Stock)
003040,HANIL PHARM,2006/11/21,DELISTING (Stock)
006600,DONGSHIN PHARM,2006/11/22,DELISTING (Stock)
064900,KYOBO-MERITZ FIRST,2006/12/28,DELISTING (Stock)
085450,Good&Rich auction1,2007/01/26,DELISTING (Stock)
037060,SecureSoft,2007/04/04,DELISTING (KOSDAQ)
054250,YEIL BIOTECH,2007/04/11,DELISTING (KOSDAQ)
054440,MtekSemi,2007/04/13,DELISTING (KOSDAQ)
054790,JMP,2007/04/24,DELISTING (KOSDAQ)
025830,HANKOOK SYNTH,2007/04/25,DELISTING (Stock)
025930,PANTECH P.M.I,2007/04/25,DELISTING (Stock)
063350,Pantech&Curitel,2007/04/25,DELISTING (Stock)
014900,TRIGEM,2007/04/25,DELISTING (Stock)
045310,E-RAE,2007/05/08,DELISTING (KOSDAQ)
067910,KocrefCR-REIT1,2007/05/10,DELISTING (Stock)
001830,DONGBUELECTRONICS,2007/05/21,DELISTING (Stock)
011020,KOLON CHEM,2007/06/15,DELISTING (Stock)
005330,KASCO,2007/06/20,DELISTING (Stock)
038420,C&C ENTER,2007/08/29,DELISTING (KOSDAQ)
015670,APSTelecom,2007/09/12,DELISTING (Stock)
032710,Shinhan Card,2007/10/10,DELISTING (Stock)
012990,LG PETROCHEM,2007/11/15,DELISTING (Stock)
012460,Wooyoung,2008/03/13,DELISTING (KOSDAQ)
058680,OBZEE,2008/04/10,DELISTING (KOSDAQ)
042570,FutureVision,2008/04/12,DELISTING (KOSDAQ)
032590,nTorino,2008/04/12,DELISTING (KOSDAQ)
066330,Security KOR,2008/04/12,DELISTING (KOSDAQ)
064720,ModelLine,2008/04/12,DELISTING (KOSDAQ)
065810,UCICOLS,2008/04/17,DELISTING (KOSDAQ)
072450,REALTY KOREA CR REIT,2008/04/18,DELISTING (Stock)
004530,SY,2008/04/22,DELISTING (Stock)
041940,Hantel,2008/04/23,DELISTING (KOSDAQ)
057330,Planet82,2008/04/23,DELISTING (KOSDAQ)
035270,CHUNG LAM,2008/04/23,DELISTING (KOSDAQ)
033330,DOORIMT&C,2008/05/03,DELISTING (KOSDAQ)
055970,ENERWIN,2008/05/03,DELISTING (KOSDAQ)
044370,Joytoto,2008/05/03,DELISTING (KOSDAQ)
060660,HANDO HITECH,2008/05/03,DELISTING (KOSDAQ)
045760,KTDATA,2008/06/13,DELISTING (KOSDAQ)
034750,DONGJAKCOM,2008/07/12,DELISTING (KOSDAQ)
073470,UresMeritz,2008/08/04,DELISTING (Stock)
073530,KOCREF CR-REITIII,2008/08/08,DELISTING (Stock)
003660,KOREA CEMENT,2008/08/20,DELISTING (Stock)
060410,BestFlow,2008/08/25,DELISTING (KOSDAQ)
088510,Good&Rich auction2,2008/08/25,DELISTING (Stock)
050600,SERAON,2008/09/09,DELISTING (KOSDAQ)
060000,KOOKMIN BANK,2008/10/10,DELISTING (Stock)
089170,Dongbuka27,2008/11/05,DELISTING (Stock)
089200,Dongbuka30,2008/11/05,DELISTING (Stock)
089190,Dongbuka29,2008/11/05,DELISTING (Stock)
089180,Dongbuka28,2008/11/05,DELISTING (Stock)
083160,HYUNDAI AUCTION FUND,2008/12/08,DELISTING (Stock)
039060,IBXENE,2008/12/20,DELISTING (KOSDAQ)
072430,IREVO,2009/02/03,DELISTING (KOSDAQ)
007640,HK.S.BANK,2009/02/03,DELISTING (KOSDAQ)
005760,Winners Infraline,2009/02/19,DELISTING (Stock)
093730,Dongbuka 31,2009/03/13,DELISTING (Stock)
078610,DOM,2009/04/11,DELISTING (KOSDAQ)
053890,MEDIAcorp,2009/04/11,DELISTING (KOSDAQ)
079870,SANYANG,2009/04/11,DELISTING (KOSDAQ)
016040,DSP,2009/04/11,DELISTING (KOSDAQ)
060550,WOOSUCNS,2009/04/11,DELISTING (KOSDAQ)
038810,POIBOS,2009/04/11,DELISTING (KOSDAQ)
047370,FIT,2009/04/11,DELISTING (KOSDAQ)
066200,InnoBlue,2009/04/11,DELISTING (KOSDAQ)
073780,K-D'seco,2009/04/11,DELISTING (KOSDAQ)
103160,PMO Foods,2009/04/13,DELISTING (Stock)
007050,Yurie ES,2009/04/15,DELISTING (Stock)
065910,PWGenetics,2009/04/18,DELISTING (KOSDAQ)
016890,DWB,2009/04/20,DELISTING (KOSDAQ)
076170,GBS,2009/04/22,DELISTING (Stock)
052310,H1BIO,2009/04/23,DELISTING (KOSDAQ)
036760,KNS HOLDINGS,2009/04/23,DELISTING (KOSDAQ)
041310,Mobilink,2009/04/23,DELISTING (KOSDAQ)
038410,TRICOM,2009/04/23,DELISTING (KOSDAQ)
019640,HEEHOON D&G,2009/04/23,DELISTING (KOSDAQ)
036280,Newchemgene,2009/04/24,DELISTING (KOSDAQ)
001190,MICRO,2009/04/27,DELISTING (Stock)
026230,IDH,2009/04/29,DELISTING (KOSDAQ)
036360,3SOFT,2009/04/29,DELISTING (KOSDAQ)
080570,ICC,2009/04/29,DELISTING (KOSDAQ)
071360,NHE,2009/04/29,DELISTING (KOSDAQ)
077960,K-eng,2009/04/29,DELISTING (KOSDAQ)
056020,CUL 2,2009/04/29,DELISTING (KOSDAQ)
025460,FANTOMENT,2009/04/29,DELISTING (KOSDAQ)
081500,XCE,2009/04/29,DELISTING (KOSDAQ)
003990,BHK,2009/04/30,DELISTING (Stock)
053170,Cosmos PLC,2009/04/30,DELISTING (KOSDAQ)
004230,SESHIN,2009/04/30,DELISTING (Stock)
048270,FONET,2009/05/04,DELISTING (KOSDAQ)
008400,C&HEAVY INDUSTRIES,2009/05/13,DELISTING (Stock)
006070,KIRIN,2009/05/13,DELISTING (Stock)
000790,C&MERCHANT MARINE,2009/05/13,DELISTING (Stock)
013200,C&WOOBANG,2009/05/13,DELISTING (Stock)
001970,SGSHINSUNG,2009/05/13,DELISTING (Stock)
009690,KMH,2009/05/13,DELISTING (Stock)
033720,Blue Stone,2009/05/15,DELISTING (KOSDAQ)
036790,ZK,2009/05/15,DELISTING (KOSDAQ)
040020,SARACOM,2009/05/27,DELISTING (KOSDAQ)
059720,YAHOH COM,2009/05/27,DELISTING (KOSDAQ)
038920,GENF,2009/05/29,DELISTING (KOSDAQ)
053070,Trinity,2009/06/03,DELISTING (KOSDAQ)
039990,Core Info,2009/06/10,DELISTING (KOSDAQ)
036610,gdcorp,2009/06/17,DELISTING (KOSDAQ)
036270,Hecenat,2009/06/17,DELISTING (KOSDAQ)
032390,KTF,2009/06/23,DELISTING (Stock)
079340,HILUX,2009/06/24,DELISTING (KOSDAQ)
052560,Samsung Fisheries,2009/07/01,DELISTING (KOSDAQ)
031800,ST&I,2009/07/01,DELISTING (KOSDAQ)
063280,Cyberpass,2009/07/08,DELISTING (KOSDAQ)
006210,HULIF,2009/07/15,DELISTING (Stock)
042100,HYUNDAI AUTONET,2009/07/16,DELISTING (Stock)
016990,LGM,2009/07/16,DELISTING (KOSDAQ)
038830,KMS,2009/08/08,DELISTING (KOSDAQ)
001370,FNCKOLON,2009/08/17,DELISTING (Stock)
035950,KR,2009/08/21,DELISTING (KOSDAQ)
044070,HANSEO PHARM,2009/08/25,DELISTING (KOSDAQ)
046320,MTRON,2009/08/28,DELISTING (KOSDAQ)
035500,SunnyTrends,2009/09/04,DELISTING (KOSDAQ)
033880,Bluemum,2009/09/04,DELISTING (KOSDAQ)
054650,NewGen BIT,2009/09/04,DELISTING (KOSDAQ)
058550,NEO RESOURCE,2009/09/15,DELISTING (KOSDAQ)
032570,CARAVAN KDE,2009/09/18,DELISTING (KOSDAQ)
073710,CDNetworks,2009/09/23,DELISTING (KOSDAQ)
066850,IDREAM,2009/10/07,DELISTING (KOSDAQ)
044770,AMS,2009/10/07,DELISTING (KOSDAQ)
052640,GENESIS,2009/10/07,DELISTING (KOSDAQ)
076850,MCO CR,2009/10/09,DELISTING (Stock)
092970,Turtle01,2009/10/16,DELISTING (Stock)
035010,Soyea,2009/11/03,DELISTING (KOSDAQ)
051530,GOOD EMG,2009/11/03,DELISTING (KOSDAQ)
014420,PROVITA,2009/11/06,DELISTING (KOSDAQ)
036660,Plus Profit,2009/11/20,DELISTING (KOSDAQ)
085680,Mobiletop,2009/11/25,DELISTING (KOSDAQ)
045380,DuzonDigital,2009/12/09,DELISTING (KOSDAQ)
062730,KENERTEC,2009/12/23,DELISTING (KOSDAQ)
045820,LG Powercom,2010/01/15,DELISTING (Stock)
015940,LG Dacom,2010/01/15,DELISTING (Stock)
000610,FST F & M INS,2010/01/20,DELISTING (Stock)
083120,DONGBUKA 9,2010/01/20,DELISTING (Stock)
037510,GOODLIFE10,2010/01/26,DELISTING (KOSDAQ)
047940,BND,2010/01/29,DELISTING (KOSDAQ)
080140,DIBOSS,2010/02/02,DELISTING (KOSDAQ)
037830,Glopost,2010/02/09,DELISTING (KOSDAQ)
045400,EROM Tech,2010/02/11,DELISTING (KOSDAQ)
031960,Dongsan,2010/02/20,DELISTING (KOSDAQ)
067950,TEC,2010/02/20,DELISTING (KOSDAQ)
078700,SINJISOFT,2010/02/27,DELISTING (KOSDAQ)
056850,COREBIT,2010/03/09,DELISTING (KOSDAQ)
041800,KODICOM,2010/03/09,DELISTING (KOSDAQ)
015050,Visionhightech,2010/03/09,DELISTING (KOSDAQ)
008320,KoTl,2010/03/11,DELISTING (Stock)
017010,Xana-BiomiX,2010/03/26,DELISTING (KOSDAQ)
084810,IRD,2010/04/01,DELISTING (KOSDAQ)
054020,GK POWER,2010/04/03,DELISTING (KOSDAQ)
017050,Starmax,2010/04/05,DELISTING (KOSDAQ)
045880,UTX,2010/04/10,DELISTING (KOSDAQ)
008340,DAEJOOKORES,2010/04/13,DELISTING (KOSDAQ)
051810,MOBO,2010/04/13,DELISTING (KOSDAQ)
079560,MOGEM,2010/04/13,DELISTING (KOSDAQ)
064060,Cynogen,2010/04/13,DELISTING (KOSDAQ)
060670,UPERT,2010/04/13,DELISTING (KOSDAQ)
032030,1001OPTICAL,2010/04/13,DELISTING (KOSDAQ)
015170,CHOONGANGBIO,2010/04/13,DELISTING (KOSDAQ)
046350,EduArk,2010/04/13,DELISTING (KOSDAQ)
108070,SAMSUNG DIGITAL,2010/04/14,DELISTING (Stock)
065340,3D world,2010/04/15,DELISTING (KOSDAQ)
001600,SEOKWANG CONST,2010/04/15,DELISTING (Stock)
034660,GENEXEL,2010/04/15,DELISTING (KOSDAQ)
004820,JOIN ENERGY,2010/04/15,DELISTING (Stock)
017300,HBE ENERGY,2010/04/15,DELISTING (Stock)
038690,ACE ELEC,2010/04/17,DELISTING (KOSDAQ)
033260,SSAMZIE,2010/04/17,DELISTING (KOSDAQ)
048130,SP CORP,2010/04/20,DELISTING (KOSDAQ)
053440,SUNGWOO MOLD,2010/04/21,DELISTING (KOSDAQ)
012420,MeritzIB,2010/04/21,DELISTING (Stock)
033190,Polchem,2010/04/23,DELISTING (KOSDAQ)
045290,For Nature,2010/04/23,DELISTING (KOSDAQ)
076090,TAKE SYSTEMS,2010/04/23,DELISTING (KOSDAQ)
002540,KOJE,2010/04/23,DELISTING (Stock)
035710,CL,2010/05/01,DELISTING (KOSDAQ)
037110,JS,2010/05/01,DELISTING (KOSDAQ)
078670,ARGUS,2010/05/01,DELISTING (KOSDAQ)
020070,EVERRES,2010/05/01,DELISTING (KOSDAQ)
012090,SUNGWON CORPORATION,2010/05/03,DELISTING (Stock)
024870,Yoo Sung TSI,2010/05/03,DELISTING (Stock)
069470,ZeroOne Interactive,2010/05/03,DELISTING (Stock)
041030,Iroonet,2010/05/05,DELISTING (KOSDAQ)
065410,GENTECH HOLDINGS,2010/05/05,DELISTING (KOSDAQ)
053470,Opes,2010/05/08,DELISTING (KOSDAQ)
085990,Dan Sung Electron,2010/05/08,DELISTING (KOSDAQ)
041320,Bohong,2010/05/08,DELISTING (KOSDAQ)
030390,SOLAR & TECH,2010/05/08,DELISTING (KOSDAQ)
074140,XROAD,2010/05/08,DELISTING (KOSDAQ)
057100,HST,2010/05/08,DELISTING (KOSDAQ)
041630,INZEN,2010/05/08,DELISTING (KOSDAQ)
058480,HAE WON S.T,2010/05/08,DELISTING (KOSDAQ)
018410,HYUNDAE MTL,2010/05/13,DELISTING (Stock)
007490,TAECHANG ENT,2010/05/13,DELISTING (Stock)
067850,BYNAMIC,2010/05/19,DELISTING (KOSDAQ)
011400,AJIN CARINTECH,2010/05/20,DELISTING (Stock)
023670,REN,2010/06/17,DELISTING (KOSDAQ)
068770,SUNWOO H I,2010/06/17,DELISTING (KOSDAQ)
066930,SD,2010/06/29,DELISTING (KOSDAQ)
066300,SHINE SYSTEM,2010/06/29,DELISTING (KOSDAQ)
084240,Dongbuka15,2010/07/13,DELISTING (Stock)
027840,KODENSHI,2010/07/14,DELISTING (Stock)
036850,Knowledge*on,2010/07/14,DELISTING (KOSDAQ)
114410,HYUNDAIFOOD,2010/07/16,DELISTING (Stock)
035830,MECCA FORUM,2010/07/16,DELISTING (KOSDAQ)
047710,Acti2O,2010/07/21,DELISTING (KOSDAQ)
011050,KEDCOM,2010/07/22,DELISTING (Stock)
018890,MORARESOURCE,2010/07/22,DELISTING (KOSDAQ)
012580,SHINSEGAE TOMBOY,2010/07/30,DELISTING (Stock)
041550,CERATECH,2010/08/25,DELISTING (KOSDAQ)
058690,Futureinfone,2010/08/26,DELISTING (KOSDAQ)
089240,Neosemitech Corp,2010/09/03,DELISTING (KOSDAQ)
041450,INNET,2010/09/14,DELISTING (KOSDAQ)
033030,GEOMC,2010/09/25,DELISTING (KOSDAQ)
055250,DAHUI,2010/10/01,DELISTING (KOSDAQ)
035400,VSST,2010/10/01,DELISTING (KOSDAQ)
058900,TumiBT,2010/10/12,DELISTING (KOSDAQ)
084160,GOLDEN BRIDGE WM1,2010/10/15,DELISTING (Stock)
013650,Deco,2010/10/19,DELISTING (KOSDAQ)
052970,Olive9,2010/10/20,DELISTING (KOSDAQ)
080410,Dongbuka6,2010/10/25,DELISTING (Stock)
070080,HydrogenPower,2010/11/06,DELISTING (KOSDAQ)
048510,Testech,2010/11/10,DELISTING (KOSDAQ)
044640,Dongbu CNI,2010/11/22,DELISTING (KOSDAQ)
048140,TGE,2010/11/25,DELISTING (KOSDAQ)
078420,DongBuka1,2010/11/29,DELISTING (Stock)
047450,E & Tech,2010/11/30,DELISTING (KOSDAQ)
102000,Turtleship03,2010/12/03,DELISTING (Stock)
101380,Turtleship02,2010/12/03,DELISTING (Stock)
052210,MCTT CORE,2010/12/04,DELISTING (KOSDAQ)
088010,DONGBUKA21,2010/12/28,DELISTING (Stock)
086720,KOCREF 7I,2010/12/29,DELISTING (Stock)
082110,Dongbuka8,2011/01/04,DELISTING (Stock)
094950,GB VIETNAM FUND1,2011/01/05,DELISTING (Stock)
088020,NatureGlobal,2011/01/08,DELISTING (KOSDAQ)
051820,IPS Ltd.,2011/01/14,DELISTING (KOSDAQ)
084450,SESIL,2011/02/10,DELISTING (KOSDAQ)
046240,"SVH co., Ltd.",2011/02/12,DELISTING (KOSDAQ)
009720,HANKUK ELEC GLAS,2011/02/16,DELISTING (Stock)
032380,HandySoft,2011/03/03,DELISTING (KOSDAQ)
037150,CJ Internet,2011/03/22,DELISTING (KOSDAQ)
056200,Mnet Media,2011/03/22,DELISTING (KOSDAQ)
045710,ON*Media,2011/03/22,DELISTING (Stock)
005280,BUSAN BANK,2011/03/30,DELISTING (Stock)
019120,KyungYoon Hydro Ener,2011/04/06,DELISTING (KOSDAQ)
030030,JAD,2011/04/13,DELISTING (KOSDAQ)
048640,M&FC,2011/04/13,DELISTING (KOSDAQ)
043680,Stom EnF,2011/04/13,DELISTING (KOSDAQ)
031990,DaesunShip,2011/04/13,DELISTING (KOSDAQ)
013240,CELRUN,2011/04/15,DELISTING (Stock)
005350,BONGSHIN,2011/04/15,DELISTING (Stock)
060750,Jcom,2011/04/16,DELISTING (KOSDAQ)
032290,alti-elect,2011/04/23,DELISTING (KOSDAQ)
037020,hanwireless,2011/04/23,DELISTING (KOSDAQ)
049690,FORHUMAN,2011/04/23,DELISTING (KOSDAQ)
016160,ORAH BIOTICS,2011/04/26,DELISTING (Stock)
088810,"Maxbro CO., Ltd.",2011/04/29,DELISTING (KOSDAQ)
054150,NEWGEN ICT,2011/04/29,DELISTING (KOSDAQ)
019430,NIC,2011/04/29,DELISTING (KOSDAQ)
017160,SEVEN KOSF,2011/04/29,DELISTING (KOSDAQ)
043630,G&R,2011/04/29,DELISTING (KOSDAQ)
039040,UNITECH,2011/04/29,DELISTING (KOSDAQ)
054170,ENBIGS,2011/04/29,DELISTING (KOSDAQ)
038710,KOLMAR PHARMA,2011/05/07,DELISTING (KOSDAQ)
033850,G-inno,2011/05/07,DELISTING (KOSDAQ)
030420,De Passion,2011/05/07,DELISTING (KOSDAQ)
072530,NM,2011/05/07,DELISTING (KOSDAQ)
014590,TLC Leisure,2011/05/13,DELISTING (Stock)
017170,Hoonyoung,2011/05/13,DELISTING (Stock)
004620,CAMBRIDGE KOLON,2011/05/17,DELISTING (Stock)
005270,iM Bank,2011/06/07,DELISTING (Stock)
031950,Edu-pass,2011/06/09,DELISTING (KOSDAQ)
039350,HepaHope,2011/06/16,DELISTING (KOSDAQ)
052510,ECO Solution,2011/06/16,DELISTING (KOSDAQ)
105380,DASAN REIT,2011/06/24,DELISTING (Stock)
034600,Gloworks,2011/06/29,DELISTING (KOSDAQ)
016510,HYUNDAI DSF,2011/07/18,DELISTING (Stock)
022520,KOLONINET,2011/07/19,DELISTING (KOSDAQ)
050640,EROOM G&G,2011/08/20,DELISTING (KOSDAQ)
036550,ACE DIGITECH,2011/08/22,DELISTING (KOSDAQ)
066340,KSR,2011/09/09,DELISTING (KOSDAQ)
047600,SEGYE TOUR,2011/09/09,DELISTING (KOSDAQ)
023020,TY MAGIC,2011/09/14,DELISTING (KOSDAQ)
036840,Histostem,2011/09/15,DELISTING (KOSDAQ)
052880,Q&S,2011/09/23,DELISTING (KOSDAQ)
081090,C-motech,2011/09/23,DELISTING (KOSDAQ)
103150,THE HITE,2011/09/26,DELISTING (Stock)
054010,SUNPACKTECH,2011/10/06,DELISTING (KOSDAQ)
042870,ECOPETRO,2011/10/06,DELISTING (KOSDAQ)
037700,TOZAI Holdings,2011/10/12,DELISTING (KOSDAQ)
026540,KFVC,2011/10/14,DELISTING (KOSDAQ)
024100,JEILSB,2011/10/14,DELISTING (Stock)
040180,DYG,2011/10/25,DELISTING (KOSDAQ)
037550,Clustar,2011/10/26,DELISTING (KOSDAQ)
950030,NEPRO IT,2011/11/05,DELISTING (KOSDAQ)
052810,AMH,2011/11/22,DELISTING (KOSDAQ)
094520,MAPSVIETNAMFUND1,2011/11/24,DELISTING (Stock)
900020,Cowell,2011/11/26,DELISTING (KOSDAQ)
037540,Nextech,2011/11/26,DELISTING (KOSDAQ)
026220,STC LIFE,2011/11/29,DELISTING (KOSDAQ)
090090,d&shop,2011/12/15,DELISTING (KOSDAQ)
054120,The ChainG,2011/12/15,DELISTING (KOSDAQ)
025970,ALDEX,2011/12/20,DELISTING (KOSDAQ)
061140,LNP,2011/12/28,DELISTING (KOSDAQ)
025340,GTIC,2011/12/28,DELISTING (KOSDAQ)
022520,KOLONINET,2012/01/11,DELISTING (Stock)
032930,Ace & Partners,2012/01/18,DELISTING (KOSDAQ)
061050,GND WINTECH,2012/01/20,DELISTING (KOSDAQ)
046720,NHT,2012/02/01,DELISTING (KOSDAQ)
037380,AONEMICRO,2012/02/01,DELISTING (KOSDAQ)
093820,KOREA OIL 15-1,2012/02/01,DELISTING (Stock)
088960,CTLTEC,2012/02/08,DELISTING (KOSDAQ)
134000,Turtleship No. 7,2012/03/02,DELISTING (Stock)
114140,Turtleship6,2012/03/02,DELISTING (Stock)
114130,Turtleship5,2012/03/02,DELISTING (Stock)
037320,Synopex Green Tech,2012/03/19,DELISTING (KOSDAQ)
056710,Millinet,2012/04/13,DELISTING (KOSDAQ)
089480,PSM,2012/04/13,DELISTING (KOSDAQ)
015390,"L&CP CO.,Ltd",2012/04/13,DELISTING (KOSDAQ)
094700,MISUNGPOLY,2012/04/13,DELISTING (KOSDAQ)
042340,Daekuk,2012/04/13,DELISTING (KOSDAQ)
056010,i-station Corp.,2012/04/13,DELISTING (KOSDAQ)
052350,Core S&I,2012/04/17,DELISTING (KOSDAQ)
002670,MijuSteel,2012/04/17,DELISTING (KOSDAQ)
101790,KR2 Delp. REIT,2012/04/17,DELISTING (Stock)
098150,Korea Asia Pacific,2012/04/23,DELISTING (Stock)
068630,EpiValley,2012/04/24,DELISTING (KOSDAQ)
045470,APRO TECHNOLOGY,2012/04/24,DELISTING (KOSDAQ)
065610,Polyplus,2012/05/01,DELISTING (KOSDAQ)
040740,Ein's M&M,2012/05/01,DELISTING (KOSDAQ)
015200,BnB Sungwon,2012/05/01,DELISTING (KOSDAQ)
066690,Bokwang TS Co.,2012/05/01,DELISTING (KOSDAQ)
050470,CT&T,2012/05/01,DELISTING (KOSDAQ)
053040,BLUEGEM D&C,2012/05/17,DELISTING (KOSDAQ)
001310,POONGLIM IND,2012/05/18,DELISTING (Stock)
108890,Turtleship 04,2012/05/24,DELISTING (Stock)
065310,JHCOS,2012/05/31,DELISTING (KOSDAQ)
037240,Pyeong Ahn Trading,2012/06/01,DELISTING (KOSDAQ)
008540,KB PRODUCE,2012/06/08,DELISTING (Stock)
067130,CLUNET,2012/06/08,DELISTING (KOSDAQ)
012400,Hermesholdings,2012/06/12,DELISTING (Stock)
004550,DAEWOO SD DEVELOPMEN,2012/06/22,DELISTING (Stock)
021060,H.V.C,2012/06/27,DELISTING (KOSDAQ)
000470,GREEN INSURANCE,2012/07/16,DELISTING (Stock)
098400,Enspert,2012/07/24,DELISTING (KOSDAQ)
025610,KOREAMSB,2012/07/25,DELISTING (Stock)
007800,SMSB,2012/07/25,DELISTING (Stock)
045260,D.H FASHION,2012/08/01,DELISTING (KOSDAQ)
105070,KKS,2012/08/14,DELISTING (KOSDAQ)
011800,BAEMYUNG MTL,2012/09/03,DELISTING (Stock)
019260,NKBIO,2012/09/05,DELISTING (KOSDAQ)
038320,Oullim,2012/09/08,DELISTING (KOSDAQ)
033280,Oullim Elses,2012/09/11,DELISTING (KOSDAQ)
007150,DongyangTele,2012/09/11,DELISTING (KOSDAQ)
900030,UNITED TECH,2012/09/14,DELISTING (Stock)
034510,MIC,2012/09/25,DELISTING (KOSDAQ)
050050,UI Energy Corp.,2012/09/26,DELISTING (KOSDAQ)
900150,SHENGLONG INVESTMENT,2012/09/26,DELISTING (KOSDAQ)
071660,SSCP,2012/09/29,DELISTING (KOSDAQ)
016140,Westate,2012/10/12,DELISTING (KOSDAQ)
073130,Insprit,2012/10/12,DELISTING (KOSDAQ)
121910,DWS SPAC,2012/10/15,DELISTING (Stock)
007200,JINHEUNGMSB,2012/10/17,DELISTING (Stock)
016560,SEOULSB,2012/10/17,DELISTING (Stock)
121950,MIRAEASSET SPAC NO.1,2012/10/23,DELISTING (KOSDAQ)
038990,NEXCONTECH,2012/11/01,DELISTING (KOSDAQ)
043890,T-HANVIT,2012/11/01,DELISTING (KOSDAQ)
035210,Tbroad DobongGangbuk,2012/11/01,DELISTING (KOSDAQ)
122290,TY Value SPAC,2012/11/07,DELISTING (Stock)
026870,Ko-one energy servic,2012/11/15,DELISTING (Stock)
048460,ACCURIS,2012/11/16,DELISTING (KOSDAQ)
042820,OULLIM NET,2012/11/17,DELISTING (KOSDAQ)
047730,NETWAVE,2012/11/17,DELISTING (KOSDAQ)
045050,CURIOUS,2012/11/27,DELISTING (KOSDAQ)
046430,R&S Networks,2012/12/05,DELISTING (KOSDAQ)
015110,JOONGANG CONST.,2012/12/11,DELISTING (Stock)
122750,WOORISPAC1,2012/12/21,DELISTING (Stock)
064420,KP CHEMICAL,2013/01/15,DELISTING (Stock)
123160,HiddenChampion 1st,2013/01/18,DELISTING (KOSDAQ)
014300,SJHoldings,2013/01/18,DELISTING (Stock)
004010,LOTTE MIDOPA,2013/01/22,DELISTING (Stock)
009380,ASIA PAPERTEC,2013/01/23,DELISTING (Stock)
007480,DAIHAN EUNPAKGY,2013/01/28,DELISTING (Stock)
038120,AD Motors,2013/01/30,DELISTING (KOSDAQ)
124050,HanwhaSVSPAC,2013/02/15,DELISTING (KOSDAQ)
034010,Tricircle,2013/02/21,DELISTING (KOSDAQ)
031920,SM.S.BANK,2013/02/27,DELISTING (KOSDAQ)
016570,PAC PHARM,2013/03/15,DELISTING (Stock)
123290,Korea SPAC No.1,2013/03/29,DELISTING (KOSDAQ)
